,Unit,Module,Filename,Problem Name,Question,Question ID,Step ID,Explanation,extracted_qid,Step Name,Selection,Level (Unit),Level (Module),CF (oli:resourceType),CF (oli:purpose),step_index,gpt-4o-mini_gen_wrong_ans,structured_gpt-4o-mini_gen_wrong_ans,Response,Why it is wrong
0,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.

2. **Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.

3. **Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.

4. **Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.

5. **Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","**Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.","""Enzymes are just sugars that provide energy for chemical reactions to happen","This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components."
0,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.

2. **Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.

3. **Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.

4. **Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.

5. **Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","**Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.","""Substrates are the same as products; they are simply the final result of any chemical reaction","This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms."
0,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.

2. **Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.

3. **Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.

4. **Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.

5. **Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","**Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.","""Enzymes can work on any type of molecule without specificity. They don't need specific substrates","This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function."
0,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.

2. **Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.

3. **Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.

4. **Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.

5. **Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","**Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.","""If there are no enzymes present, the reaction cannot occur at all","While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry."
0,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Response:** ""Enzymes are just sugars that provide energy for chemical reactions to happen.""
   - **Explanation:** This response is incorrect because enzymes are proteins, not sugars. While sugars can be related to energy production (such as glucose being a key energy source for cells), they do not function as catalysts in chemical reactions. Enzymes facilitate reactions without being consumed, whereas sugars primarily serve as energy sources or structural components.

2. **Response:** ""Substrates are the same as products; they are simply the final result of any chemical reaction.""
   - **Explanation:** This misunderstanding conflates the definitions of substrates and products. Substrates are the initial reactants that bind to an enzyme, while products are the molecules formed as a result of the reaction. They are two different stages of the enzymatic process, not interchangeable terms.

3. **Response:** ""Enzymes can work on any type of molecule without specificity. They don't need specific substrates.""
   - **Explanation:** This response is incorrect because enzymes are highly specific in their action. Each enzyme typically binds to a particular substrate, or a group of closely related substrates, due to unique active site shapes and chemical properties. This specificity is a fundamental characteristic of enzyme function.

4. **Response:** ""If there are no enzymes present, the reaction cannot occur at all.""
   - **Explanation:** While enzymes catalyze reactions to significantly speed them up, many chemical reactions can occur without enzymes, albeit at a much slower rate. Chemical reactions can still take place due to thermal energy and other factors even in the absence of enzymes, which is important in understanding the broader context of chemistry.

5. **Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","**Response:** ""Enzymes are consumed during the reaction, so they are part of the products.""
   - **Explanation:** This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly.","""Enzymes are consumed during the reaction, so they are part of the products","This statement is incorrect because enzymes are not consumed during the chemical reactions they catalyze. They facilitate the conversion of substrates into products and can continue to catalyze multiple reactions without being part of the end products. This property of enzymes is crucial for their function in biological systems, allowing them to act repeatedly."
1,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.

2. **Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.

3. **Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.

4. **Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.

5. **Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.","**Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.",,
1,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.

2. **Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.

3. **Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.

4. **Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.

5. **Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.","**Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.",,
1,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.

2. **Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.

3. **Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.

4. **Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.

5. **Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.","**Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.",,
1,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.

2. **Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.

3. **Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.

4. **Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.

5. **Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.","**Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.",,
1,_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Response:** The active site is where the enzyme is produced inside the cell.  
   **Explanation:** This response is incorrect because the active site is not the location of enzyme production. The active site refers specifically to the region on the enzyme where the substrate binds during a chemical reaction. Enzymes are synthesized by translating genetic information in the cell, separate from their functional sites.

2. **Response:** The active site is where the enzyme is stored in the cell until it is needed.  
   **Explanation:** This misunderstanding conflates the concept of enzyme storage with its active site. While enzymes are indeed stored in cells, the active site is a part of the enzyme's structure that interacts with substrates, not a storage location. Enzymes do not perform their function while stored; they must be active.

3. **Response:** The active site is where products are released after the reaction has occurred.  
   **Explanation:** This is incorrect because the active site is dedicated to binding substrates, not releasing products. After the enzyme catalyzes the reaction, the products are released from the active site, but this site does not act as a release point. The function of the active site is to facilitate the reaction between substrates, not manage product release.

4. **Response:** The active site changes shape to fit any molecule that comes into it, like a lock and key mechanism.  
   **Explanation:** This statement is misleading. While the ""lock and key"" analogy suggests that the active site has a specific shape that only fits particular substrates, it does not imply that the active site changes shape to fit any molecule. Instead, the active site often shows slight conformational changes that complement the substrate, but it is specific to certain substrates and does not universally accommodate any molecule.

5. **Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.","**Response:** The active site is where the enzyme accumulates energy for the reaction.  
   **Explanation:** This response is incorrect because the active site does not function as a site of energy accumulation. Instead, the role of the active site is to facilitate the interaction between the enzyme and substrate to lower the activation energy of the reaction. Energy transformation occurs during the process, but the active site does not store or accumulate energy.",,
