Unit,Module,Filename,Problem Name,Question,Question ID,Step ID,Explanation,extracted_qid,Step Name,Selection,Level (Unit),Level (Module),CF (oli:resourceType),CF (oli:purpose),step_index,gpt-4o-mini_meta_knowledge
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,"What are enzymes, substrate, and product?",21663447718.0,_m3_enzm_substrate_product_SC-DIGTq1,"Enzymes are proteins that act as catalysts (make it easier for chemical reactions to occur). Substrates are molecules that bind to an enzyme. For any given enzyme, one or more specific substrate molecules will bind to that enzyme. Substrates are then converted to product(s) by the reaction catalyzed by the enzyme.",q1,_m3_enzm_substrate_product_SC-DIGTq1_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **Enzymes are consumed in chemical reactions**: Many students believe that enzymes are used up during a reaction and cannot be reused. In reality, enzymes act as catalysts and remain unchanged after the reaction, allowing them to facilitate multiple reactions.

2. **Substrates and products are the same**: Some students may think that substrates (the starting materials) and products (the end result) are the same once a reaction occurs. However, substrates are converted into different products through the action of enzymes.

3. **Enzymes only work on one specific substrate**: While it is true that many enzymes have a specific substrate they act upon, students might not understand that some enzymes can act on a range of similar substrates or that enzymes can be designed or modified to work with different substrates.

4. **Temperature and pH do not affect enzyme activity**: Students might overlook the fact that factors such as temperature and pH can significantly affect enzyme activity. High temperatures can denature enzymes, and each enzyme has an optimal pH at which it functions best.

5. **All enzymes are proteins**: Some students may not realize that while most enzymes are proteins, there are also RNA molecules called ribozymes that can catalyze reactions. This misconception can lead to a narrow understanding of the range of biological catalysts."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_enzm_substrate_product_SC.xml,_m3_enzm_substrate_product_SC,What is the active site of an enzyme?,5974992642.0,_m3_enzm_substrate_product_SC-DIGTq2,It is the site in the enzyme to which substrate binds.,q2,_m3_enzm_substrate_product_SC-DIGTq2_A UpdateShortAnswer,_m3_enzm_substrate_product_SC-DIGTq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,1,"1. **Enzymes Are Consumed in Reactions**: Students often think that enzymes are used up during the chemical reactions they catalyze, while in reality, enzymes remain unchanged and can be used repeatedly.

2. **The Active Site Is the Entire Enzyme**: Some students may believe that the active site encompasses the entire enzyme structure, not realizing that it is a specific region where substrate molecules bind.

3. **All Enzymes Have the Same Active Site Shape**: There’s a misconception that all enzymes have a similar structure and active site, while in fact, each enzyme is highly specific in shape and chemical properties, tailored for its specific substrate.

4. **Substrates and Products Are the Same as Enzymes**: Students might confuse substrates and products with enzymes, thinking that enzymes get converted into products, when they are actually separate entities that facilitate the reaction.

5. **Temperature and pH Have No Effect on Active Site Function**: Some learners may underestimate the impact of temperature and pH on enzyme activity and the shape of the active site, mistakenly believing that enzymes function optimally under all conditions."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_long_term_factors_weight_LBD.xml,_m3_long_term_factors_weight_LBD,"You may have seen television programs that make weight loss into a contest, with the prize going to the contestant who takes off pounds the fastest. You may even have similar incentive programs in your own school, church, or workplace. Are these contests or incentives a good idea?",51795946593.0,m3_long_term_factors_weight_LBD_q5_SC,"Yes and no. It is a good idea for obese or overweight people to lose weight. Excess body fat can harm their health or interfere with their daily activities. However, weight loss should occur slowly in the context of permanent changes to a person’s lifestyle. Very rapid weight loss can be counterproductive, because the pounds are likely to pile back on as the person’s metabolism slows and hunger increases.",q5,m3_long_term_factors_weight_LBD_q5_SC_A UpdateShortAnswer,m3_long_term_factors_weight_LBD_q5_SC_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,0,"1. **Faster Weight Loss Always Means Better Results**: Many students may believe that losing weight quickly is a sign of success and leads to better long-term health outcomes. In reality, rapid weight loss can often result in muscle loss, nutritional deficiencies, and a higher likelihood of regaining the weight.

2. **Caloric Restriction Is the Only Way to Lose Weight**: Some students might think that the only effective strategy for weight loss is to drastically reduce calories. However, a balanced approach involving physical activity, proper nutrition, and sustainable lifestyle changes is generally more effective for lasting results.

3. **Weight Loss Equals Health**: Students may assume that losing weight automatically translates to improved health. However, individuals can be unhealthy at any weight, and health can be improved through factors other than weight, such as increased physical activity and better nutrition.

4. **All Calories Are Created Equal**: There might be a misconception that as long as caloric intake is below a certain threshold, any food is acceptable. In reality, the quality of calories matters; nutrient-dense foods support better health and weight maintenance compared to highly processed, low-nutrient foods.

5. **Contests Motivate Everyone in the Same Way**: Students might think that competitive weight loss contests universally motivate participants to achieve their goals. In truth, for many people, competitive environments can lead to unhealthy behaviors, shame, or stress, rather than positive motivation and sustainable changes."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_low_cal_diet_LBD.xml,_m3_low_cal_diet_LBD,"Bill, an overweight man in his twenties, goes on a very low calorie diet. He is determined to lose weight and keep it off. Within a few days, Bill has already lost four pounds! How or why was Bill able to lose those first few pounds so quickly?",60422599195.0,_m3_low_cal_diet_LBDq1,Most of the weight lost was probably water weight. Bill catabolized his glycogen and the resulting water was excreted in the urine.,q1,_m3_low_cal_diet_LBDq1_A UpdateShortAnswer,_m3_low_cal_diet_LBDq1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,0,"1. **Weight Loss is Solely Due to Fat Loss**: Many students may believe that any weight lost on a diet is primarily fat loss. In reality, initial weight loss often includes water weight and glycogen depletion, not just fat loss.

2. **Caloric Intake Has No Immediate Effect**: Some students might think that changes in caloric intake take a long time to affect weight. In fact, drastic reductions in calories can lead to rapid weight loss due to quick changes in bodily water levels and metabolic adaptations.

3. **All Weight Loss is Healthy**: There is a misconception that any weight loss is beneficial. However, losing weight too quickly or through extreme dieting can lead to negative health consequences, including muscle loss, nutrient deficiencies, and metabolic imbalances.

4. **Metabolism Works the Same for Everyone**: Students may believe that metabolic rate is constant across individuals. In reality, metabolic rates can vary significantly due to factors like genetics, muscle mass, and overall health, affecting how quickly weight is lost.

5. **Very Low-Calorie Diets are Sustainable Long-Term**: Many might think that a very low-calorie diet is a viable long-term solution for weight loss. However, such diets are often unsustainable and can lead to rebound weight gain or ""yo-yo dieting,"" where the individual regains the weight once normal eating resumes."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_low_cal_diet_LBD.xml,_m3_low_cal_diet_LBD,"Over time, Bill continues to lose weight. At first he is averaging about one pound per week of weight loss. Gradually the rate of weight loss slows down, even though he sticks to the exact same level of calorie intake and exercise each day. Why, with the same calorie intake and activity level, would Bill’s weight loss slow down as he gets thinner?",39682824368.0,_m3_low_cal_diet_LBDq2,"Bill’s basal metabolic rate (BMR) — the number of calories used just to stay alive — is probably slowing down, partly as a result of weight loss itself, and partly as his body’s response to the loss of body fat. This reduces Bill’s total calorie expenditure, even though his activity level is the same. Bill will have to cut his calorie intake even more if he wants to continue losing weight.",q2,_m3_low_cal_diet_LBDq2_A UpdateShortAnswer,_m3_low_cal_diet_LBDq2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,1,"1. **Misconception about Basal Metabolic Rate (BMR)**: Students may believe that their metabolism remains constant regardless of weight loss. In reality, as Bill loses weight, his BMR decreases because he has less body mass to maintain, leading to fewer calories burned at rest.

2. **Misconception about Energy Balance**: Some students might think that calorie intake is the only factor influencing weight loss. They may overlook the fact that as weight decreases, the body requires fewer calories for maintenance, which can lead to a plateau in weight loss despite the same caloric intake.

3. **Misconception about Exercise and Weight Loss**: Students often think that exercise alone guarantees weight loss, while actually, muscle mass and body composition changes can affect how efficiently their body burns calories, especially as muscle tissue may be lost alongside fat.

4. **Misconception regarding Fat Loss vs. Weight Loss**: Some might confuse weight loss with fat loss and not realize that initial weight loss includes water and muscle mass. As Bill loses weight, he might be losing muscle instead of fat, which can slow his overall weight loss progress.

5. **Misconception about Willpower and Effort**: Students might believe that all weight loss is solely determined by willpower and effort. They may not consider physiological factors like metabolic adaptation, hormonal changes, and genetic predispositions that can influence weight loss, making it more complex than simply exerting effort."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_low_cal_diet_LBD.xml,_m3_low_cal_diet_LBD,"As Bill continues to lose body fat, his circulating leptin level declines. What do you predict will happen to Bill’s hunger and food cravings as a result?",50226070027.0,_m3_low_cal_diet_LBDq3,"Bill will experience more intense food cravings and hunger due to the decline in leptin. It may be a good idea for Bill to slow down his weight loss, very gradually working down toward his goal weight.",q3,_m3_low_cal_diet_LBDq3_A UpdateShortAnswer,_m3_low_cal_diet_LBDq3_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,2,"1. **Leptin is solely responsible for hunger regulation**: Many students mistakenly believe that leptin alone controls hunger and cravings, not recognizing that it is one of many hormones involved in appetite regulation, including ghrelin and insulin.

2. **Higher leptin levels always suppress appetite**: Some students might assume that higher leptin levels universally lead to reduced hunger, overlooking the fact that leptin resistance can occur, where the body does not respond effectively to the hormone, often seen in individuals with obesity.

3. **Body fat loss directly correlates with a linear decline in hunger**: A common misconception is that as body fat decreases, hunger will decrease in a predictable and linear manner, without acknowledging that individual variations and metabolic adaptations can lead to increased hunger despite lower fat levels.

4. **Leptin only influences short-term hunger signals**: Students might think that leptin's effect on appetite is limited to immediate hunger cues, failing to recognize its role in long-term energy balance and metabolism.

5. **Weight maintenance does not affect leptin levels**: Some may believe that leptin levels stabilize and remain unaffected after weight loss is achieved, ignoring the ongoing changes in leptin production in response to body composition and energy intake during weight maintenance."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_meta_pathways_regulate_DIGT.xml,_m3_meta_pathways_regulate_DIGT,How can inheriting altered versions of a gene lead to a loss of normal metabolic regulation?,41357813289.0,_m3_meta_pathways_regulate_DIGT_q3,"Genes code for enzyme proteins. When enzymes do not function normally, metabolic regulation is disrupted and health problems result.",q3,_m3_meta_pathways_regulate_DIGT_q3_ans UpdateShortAnswer,_m3_meta_pathways_regulate_DIGT_q3_ans,Metabolism,Pathways and Regulation,x-oli-inline-assessment,didigetthis,0,"1. **All Gene Mutations Are Harmful**: Many students believe that any alteration in a gene is detrimental to the organism. In reality, while some mutations can disrupt normal metabolic regulation, others may have no effect or could even confer advantageous traits.

2. **Gene Function Is Solely Determined by Its Sequence**: Students may think that the sequence of a gene is the only factor that determines its function. In truth, gene expression can also be influenced by environmental factors, regulatory elements, and interactions with other genes.

3. **One Altered Gene Equals One Disease**: There's a common misconception that a single gene mutation directly leads to one specific disease or metabolic issue. However, many diseases result from complex interactions between multiple genes and environmental factors, leading to a variety of metabolic consequences.

4. **Metabolic Regulation Is Static**: Some students may believe that metabolic regulation is a fixed process. In reality, metabolic pathways are dynamic and influenced by numerous signals, including hormonal regulation, nutrient availability, and cellular energy needs.

5. **Inherited Traits Are Always Expressed in the Offspring**: Students often think that inherited altered versions of genes will always manifest as a phenotype (observable trait) in the offspring. However, expression can vary due to factors like incomplete dominance, epigenetics, and genetic background, leading to situations where altered genes do not always lead to noticeable metabolic changes."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_stand_upright_LBD.xml,_m3_stand_upright_LBD,Did you notice your body doing any work to keep you upright on one foot?,21834218612.0,_m3_stand_upright_LBD_q1,"Yes, even for such a seemingly simple activity, constant work is required. You probably felt movements in your foot, in your leg muscles, and perhaps in your body as a whole.",q1,_m3_stand_upright_LBD_q1_A UpdateShortAnswer,_m3_stand_upright_LBD_q1_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,0,"1. **Static Balance Equals No Movement**: Students may believe that when they are balancing on one foot, their body is completely still and not doing any movement, unaware that constant micro-adjustments are made by muscles and joints to maintain balance.

2. **Only Leg Muscles Are Involved**: Many students might think that only the leg muscles are responsible for maintaining balance on one foot, neglecting the crucial role of core muscles, hip stabilizers, and even the neck in keeping the body upright.

3. **Balance is a Simple Skill**: Some may underestimate the complexity of balance, assuming it's a straightforward task; in reality, it involves coordination, proprioception, and neurological processes that integrate sensory information.

4. **Balance is Solely Muscle Strength**: A common misconception is that balance relies only on muscle strength; however, effective balance also depends significantly on factors like sensory feedback, coordination, and mental focus.

5. **One Foot Balance is Unrelated to Other Activities**: Students might think that the skill of balancing on one foot has no relevance to other physical activities or sports, not recognizing that balance is foundational for a wide range of movements and athletic performance."
_u830_metabolism,_m3_pathways_and_regulation,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u830_metabolism/_m3_pathways_and_regulation/x-oli-inline-assessment/_m3_stand_upright_LBD.xml,_m3_stand_upright_LBD,Your ability to maintain your balance is similar to what kind of ability or tendency of cells and organisms? Identify and discuss this tendency below.,17678352362.0,_m3_stand_upright_LBD_q2,"Your “balancing act” was similar to your body’s ability or tendency to maintain stable internal conditions, also known as homeostasis. Your nerves monitored position and balance. When you drifted off-center, your muscles responded with corrective movements. Similarly, cells and organisms maintain homeostasis by monitoring and responding to internal changes.",q2,_m3_stand_upright_LBD_q2_A UpdateShortAnswer,_m3_stand_upright_LBD_q2_A,Metabolism,Pathways and Regulation,x-oli-inline-assessment,learnbydoing,1,"1. **Homeostasis is Only About Temperature**: Many students believe that homeostasis refers solely to the regulation of body temperature. They often overlook other critical factors such as pH balance, glucose levels, and hydration, as well as how these factors contribute to maintaining overall stability within organisms.

2. **Cells Don’t Interact With Their Environment**: Some students may think that cells exist in isolation and do not interact with their surrounding environment. In reality, cells constantly receive signals from their environment and adjust their behavior in response, much like how organisms adjust their balance in response to external forces.

3. **Balance and Stability Are the Same**: Students may equate balance directly with stability, confusing the two concepts. While balance pertains to moment-to-moment adjustments that prevent falling or tipping over, stability refers to the overall ability of a system to maintain its state under various conditions.

4. **All Organisms Maintain Balance in the Same Way**: There is a misconception that all organisms use the same methods or mechanisms to maintain balance or homeostasis. In truth, different organisms (e.g., plants, animals, and microorganisms) utilize a variety of strategies and structures to adapt to their environments and maintain equilibrium.

5. **Cells Have a Static Shape**: Some students might think that the shape of a cell is constant and unchanging. In reality, cell shape can change in response to mechanical forces, signaling pathways, or interactions with other cells—similar to how an organism may adjust its posture to maintain balance."
_u810_BioChemistry,_m4_amino_acids_proteins,/Users/machi/OLI_Biology_v_1_0/svn.oli.cmu.edu/svn/content/biology/intro_biology/branches/v_1_0/content/_u810_BioChemistry/_m4_amino_acids_proteins/x-oli-inline-assessment/_m4_antacid_DIGT.xml,_m4_antacid_DIGT,"In the human stomach, proteins are digested by pepsin, an enzyme that requires an acidic pH for its optimal function. Antacids are medications that increase stomach pH. Examples include Alka-Seltzer, Tums, and Rolaids. If a person overuses antacids, how do you think this might affect that person's digestive process?",1744831834.0,q1,"When the pH is raised or increased, the activity of pepsin will decrease, which in turn decreases protein digestion.",q1,q1_A UpdateShortAnswer,q1_A,Biological Macromolecules,Proteins,x-oli-inline-assessment,didigetthis,0,"1. **Digestive Enzymes Can Function at Any pH:** Students might believe that all digestive enzymes can function effectively at any pH level, not realizing that specific enzymes, such as pepsin, have optimal pH ranges. They may underestimate the importance of pH for enzyme activity in the stomach.

2. **Antacids Neutralize Stomach Acid Completely:** Some students might think that antacids completely eliminate stomach acid, not understanding that they merely reduce acidity to a more neutral pH, which can still impact digestion but does not eliminate acid entirely.

3. **Digestion Happens Only in the Stomach:** A common misconception is that digestion only occurs in the stomach. Students might be unaware that while the stomach plays a key role in protein digestion, significant digestion also occurs in the small intestine with different enzymes functioning optimally at different pH levels.

4. **Overuse of Antacids Only Affects Acid-Related Symptoms:** Students might think that the overuse of antacids only leads to relief from heartburn or acidity but may not realize that it can disrupt the overall digestive process, affect nutrient absorption, and alter gut microbiota.

5. **Increasing Stomach pH is Always Beneficial:** A misconception may be that increasing the pH of the stomach is always a good thing for digestion. In reality, it can hinder the breakdown of proteins and affect the proper functioning of the digestive system, leading to issues like malabsorption and bacterial overgrowth."
