Row,Unit,Module,Question,Explanation,Problem Name,Step Name,Input
80296,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"Mendel was the first person to use ‚Äútrue breeding‚Äù plants, manually mate them, and follow the outcomes of offspring. What made Mendel‚Äôs experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the ‚ÄúFather of Modern Genetics‚Äù. He laid the ground work for the field of genetics as we know it today."
15766,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,Mendel is known as the father of genetics because his discoveries formed the base of genetics. Scientists wouldn't know-how offsprings inherit traits from their parents if it wasn't for Gregor Mendel.
8634,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"he was the first to breed plants and create offsprings based on how he bred them. He was deemed the father of modern genetics because he succeeded in his experiments,"
8570,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,Mendel discovered the existence of dominant and recessive genes and how the affect the pea plant for shape as well as color.
20107,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"Mendel was given the name ""father of modern genetics"" because of his study to determine how genes were inherited between flowers."
30575,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,Mendel was the first person to use true breeding plants and manually mate them in order to produce an offspring.
23224,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"Mendel was the very first person to use true breeding. Plants, manually, while later following the outcomes of the offspring."
46708,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"Mendel was the first person to use ‚Äútrue breeding‚Äù plants, manually mate them, and follow the outcomes of offspring."
64943,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,he was the first scientist to really understand how specific traits were inherited from one gen to the next.
57233,_u870_classical_genetics,_m1_Heredity,"What did Mendel do that led him to be called the “Father of Modern Genetics?""","Mendel was the first person to use “true breeding” plants, manually mate them, and follow the outcomes of offspring. What made Mendel’s experiments successful where others failed, was that he used only plants with true breeding traits, he looked at a limited number of traits, and each trait he studied only has two forms or phenotypes (purple or white flowers, smooth or wrinkles peas, etc.). By counting the number of offspring plants from his crosses that expressed each trait, he was able to determine which trait pair was stronger (dominant) and which was weaker (recessive). After repeated matings and evaluating his data he was then able to predict the outcomes of matings between plants. Because he was the first scientist to really understand how specific traits were inherited from one generation to the next, he has been dubbed the “Father of Modern Genetics”. He laid the ground work for the field of genetics as we know it today.",genetics_heredity_mendells_contribution_SC,g1_qsub_0 UpdateShortAnswer,"was the first person to use ‚Äútrue breeding‚Äù plants, manually mate them, and follow the outcomes of offspring."
